trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.09999999999999998,9,1,0,10.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,10.0,chen12,-0.21700000000000005,2.9952154361684014,0.01827867610085588
-0.5,9,1,0,10.0,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,10.0,chen12,-0.465,2.9928432685091977,0.025821502667350716
-0.09999999999999998,9,1,0,10.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,10.0,chen12,-0.21700000000000005,2.9952154361684014,0.01827867610085588
0.0,9,1,0,10.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,10.0,chen12,-0.22699999999999998,2.9951540951665763,0.01684369318172235
0.0,9,1,0,10.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,10.0,chen12,-0.22699999999999998,2.9951540951665763,0.01684369318172235
0.0,9,1,0,10.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,10.0,chen12,-0.22699999999999998,2.9951540951665763,0.01684369318172235
-0.4,9,1,0,10.0,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,10.0,chen12,-0.379,2.993349690672403,0.024219620145658767
0.5,9,1,0,10.0,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,10.0,chen12,-0.551,2.992619335952713,0.0270737880615181
0.7,9,1,0,10.0,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,10.0,chen12,-0.7469999999999999,2.992512234351344,0.02787310531677445
mean,9,1,0,10.0,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,10.0,chen12,-0.3618888888888888,2.9941352985913543,0.010394983357963865
-0.09999999999999998,9,1,0,100.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,100.0,chen12,-0.21700000000000005,2.9952343735720506,0.01860403182108652
-0.5,9,1,0,100.0,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,100.0,chen12,-0.48300000000000004,2.9927744967796803,0.02553644454500274
-0.09999999999999998,9,1,0,100.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,100.0,chen12,-0.21700000000000005,2.9952343735720506,0.01860403182108652
0.0,9,1,0,100.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,100.0,chen12,-0.22099999999999997,2.995247067008053,0.01692896925391502
0.0,9,1,0,100.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,100.0,chen12,-0.22099999999999997,2.995247067008053,0.01692896925391502
0.0,9,1,0,100.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,100.0,chen12,-0.22099999999999997,2.995247067008053,0.01692896925391502
-0.4,9,1,0,100.0,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,100.0,chen12,-0.3950000000000001,2.993250919614136,0.02414021540914662
0.5,9,1,0,100.0,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,100.0,chen12,-0.5329999999999999,2.992538552428881,0.02690929207541514
0.7,9,1,0,100.0,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,100.0,chen12,-0.7289999999999999,2.9924317141907375,0.027687361737803767
mean,9,1,0,100.0,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,100.0,chen12,-0.3596666666666667,2.9941339590201883,0.010467651522431464
